Offense, Amount
ARSON,4
SUSPECTED ROBBERY,1
ASSAULT,1
ATTEMPTED ASSAULT,1
INCENDIARISM,3
ATTEMPTED RAPE,8
BURGLARY,1
WIFE BEATING,1
ATTEMPTED MURDER,1
ATTEMPTED ROBBERY,4
RACE PREJUDICE,5
THIEVES,2
ALLEGED BARN BURNING,4
ALLEGED MURDER,6
ALLEGED COMPLICITY IN MURDER,4
MURDER,49
SELF-DEFENSE,1
POISONING WELLS,2
ALLEGED WELL POISONING,5
INSULTING WHITES,2
MURDEROUS ASSAULT,1
NO OFFENSE,5
ALLEGED RAPE,4
ALLEGED STOCK POISONING,1
SUSPECTED MURDER,1
SUSPICION OF RAPE,1
TURNING STATE'S EVIDENCE,1
RAPE,39
